function	SRR1397196	SRR1397407	SRR1397265	SRR1397339
K12277	0.0	6.0	0.0	1.5
K12278	292.0	617.17	524.0	1304.16
K12279	312.0	753.17	564.0	1471.16
K12280	248.0	450.17	450.0	1072.16
K12281	246.0	431.0	447.5	965.0
K12282	300.0	624.67	527.0	1446.6599999999999
K12283	292.0	617.17	524.0	1312.16
K12284	287.0	580.67	440.0	905.16
K12285	292.0	617.17	524.0	1304.16
K12286	287.0	604.17	445.5	1028.66
K12287	253.0	457.5	545.5	1254.5
K12288	50.0	128.25	56.0	217.75
K12289	50.0	128.25	56.0	217.75
K12290	50.0	128.25	56.0	217.75
K12291	0.0	0.25	0.0	2.75
K12297	1666.33	4093.58	2003.0	5039.83
K12299	50.0	128.25	56.0	217.75
K12308	322.27	762.8700000000001	701.2	3398.2
K12339	2128.68	4558.25	2288.5	7830.74
K12340	4923.719999999999	14277.97	6471.969999999999	25253.04
K12343	10.0	76.0	14.0	73.0
K12349	93.0	206.0	90.0	393.0
K12368	1832.88	1437.19	2264.9	2409.1000000000004
K12369	825.44	963.97	1184.45	1645.0500000000002
K12370	825.44	963.97	1184.45	1645.0500000000002
K12371	830.44	967.97	1189.45	1652.0500000000002
K12372	828.44	965.97	1184.45	1661.0500000000002
K12373	1183.67	10720.67	2828.0	10066.0
K12410	4160.889999999999	12873.84	4624.75	30561.99
K12428	92.0	203.83	91.5	388.0
K12429	36.0	152.0	44.0	172.0
K12436	5.0	4.0	5.0	7.0
K12437	150.0	323.83	145.5	680.0
K12443	8.5	0.0	4.0	0.0
K12448	348.0	284.5	705.0	398.0
K12452	97.44	344.72	157.95000000000002	158.55
K12454	93.0	178.0	62.6	3114.0
K12500	1314.0	252.25	1043.5	770.25
K12503	141.67	212.5	134.5	401.0
K12506	1152.19	4272.719999999999	2050.05	6251.299999999999
K12507	5.0	2.25	0.0	101.75
K12508	309.85	2622.5	1065.0	4255.25
K12510	1907.77	5089.5	2787.1	13580.25
K12511	1766.54	4839.22	2801.05	13234.800000000001
K12516	0.0	0.25	0.0	2.75
K12524	571.0	5706.25	1135.5	6132.25
K12525	315.0	590.75	456.5	844.75
K12526	44.0	14.5	36.5	292.5
K12527	1.0	74.75	1.5	71.25
K12528	66.0	96.75	3.5	2954.25
K12529	42.0	92.75	1.5	2314.25
