index,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae,d__Bacteria;p__WPS-2;c__WPS-2;o__WPS-2;f__WPS-2,d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__Sericytochromatia;f__Sericytochromatia,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Hydrogenophilaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Nitrincolaceae,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Dietziaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Immundisolibacterales;f__Immundisolibacteraceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae,Unassigned;__;__;__;__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Idiomarinaceae,d__Eukaryota;__;__;__;__,d__Bacteria;p__Acetothermia;c__Acetothermiia;o__Acetothermiia;f__Acetothermiia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae,d__Bacteria;p__Thermotogota;c__Thermotogae;o__Kosmotogales;f__Kosmotogaceae,d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Tistrellaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Syntrophotaleaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Marinobacteraceae,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Thioalkalispiraceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae,d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9,d__Bacteria;p__Caldatribacteriota;c__JS1;o__JS1;f__JS1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__OPB41,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae,d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__uncultured;f__uncultured,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Melioribacteraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia;f__Hungateiclostridiaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__Oceanibaculaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Terasakiellaceae,d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Saccharospirillaceae,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Desulfuromonadaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Bradymonadales;f__Bradymonadales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae,d__Bacteria;p__Patescibacteria;c__Berkelbacteria;o__Berkelbacteria;f__Berkelbacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ectothiorhodospirales;f__Ectothiorhodospiraceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Cryomorphaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Fusibacteraceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospirillaceae,d__Bacteria;p__Firmicutes;c__Clostridia;__;__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae,d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__uncultured;f__uncultured,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurovaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__1013-28-CG33;f__1013-28-CG33,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;__,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae,d__Bacteria;p__Chloroflexi;c__Anaerolineae;__;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarciniales;f__Methanosarcinaceae,d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bacteriovoracales;f__Bacteriovoracaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Sva1033;f__Sva1033,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae,d__Bacteria;p__Firmicutes;c__BRH-c20a;o__BRH-c20a;f__BRH-c20a,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidetes_VC2.1_Bac22;f__Bacteroidetes_VC2.1_Bac22,d__Bacteria;p__Spirochaetota;c__MVP-15;o__MVP-15;f__MVP-15,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Alcanivoracaceae1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospiraceae,d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;__,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17,d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae,d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae,d__Bacteria;p__Bacteroidota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae,d__Bacteria;__;__;__;__,d__Bacteria;p__Planctomycetota;c__vadinHA49;o__vadinHA49;f__vadinHA49,d__Bacteria;p__Bacteroidota;c__Kryptonia;o__Kryptoniales;f__MSB-3C8,d__Archaea;p__Halobacterota;c__uncultured;o__uncultured;f__uncultured,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__uncultured,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__Kiritimatiellales;f__Kiritimatiellaceae,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;__,d__Bacteria;p__Patescibacteria;c__Microgenomatia;o__Candidatus_Shapirobacteria;f__Candidatus_Shapirobacteria,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Oligosphaerales;f__Lenti-02,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__P.palmC41;f__P.palmC41,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__SAR11_clade;f__Clade_I,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;__,d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Wolfebacteria;f__Candidatus_Wolfebacteria,d__Bacteria;p__Patescibacteria;c__ABY1;o__Candidatus_Falkowbacteria;f__Candidatus_Falkowbacteria,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,environment_biome,Experiment,feature,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR1397196,943.0,493.0,447.0,304.0,370.0,221.0,220.0,127.0,186.0,74.0,135.0,65.0,107.0,73.0,92.0,46.0,46.0,51.0,145.0,109.0,120.0,85.0,40.0,33.0,40.0,44.0,35.0,28.0,25.0,30.0,27.0,75.0,37.0,20.0,18.0,50.0,18.0,20.0,35.0,15.0,14.0,28.0,14.0,16.0,11.0,48.0,11.0,11.0,12.0,28.0,10.0,13.0,10.0,10.0,9.0,8.0,11.0,8.0,8.0,8.0,11.0,8.0,7.0,10.0,7.0,6.0,6.0,6.0,7.0,14.0,5.0,8.0,5.0,5.0,12.0,4.0,4.0,4.0,3.0,3.0,6.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMPLICON,449.0,11242345.0,PRJNA252404,SAMN02850025,MIMARKS.specimen	MIGS/MIMS/MIMARKS.water,6486202.0,NANKAI UNIVERSITY,2012-03-26,public,run.zq	fastq	sra,s3	gs	ncbi,s3.us-east-1	ncbi.public	gs.US,petroleum reservoir,SRX588677,BA-3084Miseq,Illumina MiSeq,Lu3084,PAIRED,PCR,METAGENOMIC,aquatic metagenome,ILLUMINA,2015-02-19T00:00:00Z,2014-06-14T06:28:00Z,1.0,Lu3084BA,SRP043100
SRR1397407,88.0,26.0,50.0,93.0,183.0,282.0,38.0,4311.0,404.0,78.0,1545.0,333.0,42.0,127.0,475.0,117.0,2.0,301.0,277.0,1233.0,133.0,172.0,11.0,3.0,332.0,167.0,10.0,8.0,84.0,7.0,9.0,40.0,2098.0,119.0,76.0,129.0,53.0,136.0,110.0,54.0,5.0,786.0,2.0,15.0,33.0,147.0,2.0,0.0,218.0,50.0,84.0,538.0,96.0,65.0,16.0,21.0,0.0,220.0,0.0,0.0,6.0,29.0,5.0,2.0,2.0,5.0,0.0,0.0,17.0,39.0,205.0,13.0,2.0,29.0,120.0,0.0,6.0,13.0,6.0,225.0,13.0,158.0,4.0,2.0,7.0,141.0,0.0,2.0,17.0,0.0,7.0,13.0,0.0,9.0,3.0,42.0,140.0,34.0,13.0,12.0,15.0,10.0,10.0,9.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,8.0,4.0,6.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMPLICON,455.0,23203074.0,PRJNA252404,SAMN02850028,MIMARKS.specimen	MIGS/MIMS/MIMARKS.water,13984782.0,NANKAI UNIVERSITY,2012-03-26,public,run.zq	sra	fastq,gs	s3	ncbi,s3.us-east-1	ncbi.public	gs.US,petroleum reservoir,SRX588820,BA-3096Miseq,Illumina MiSeq,Lu3096,PAIRED,PCR,METAGENOMIC,aquatic metagenome,ILLUMINA,2015-02-19T00:00:00Z,2014-06-14T06:30:00Z,1.0,Lu3096BA,SRP043100
SRR1397265,890.0,16.0,37.0,8.0,533.0,325.0,384.0,220.0,149.0,39.0,164.0,114.0,148.0,68.0,135.0,63.0,22.0,114.0,320.0,247.0,97.0,43.0,31.0,0.0,41.0,74.0,2.0,4.0,44.0,4.0,6.0,0.0,92.0,28.0,22.0,56.0,3.0,40.0,3.0,19.0,0.0,137.0,0.0,6.0,14.0,318.0,35.0,2.0,407.0,84.0,14.0,40.0,3.0,10.0,5.0,16.0,2.0,8.0,12.0,0.0,5.0,6.0,2.0,2.0,0.0,9.0,0.0,0.0,10.0,194.0,8.0,12.0,0.0,10.0,29.0,0.0,3.0,8.0,0.0,8.0,32.0,5.0,6.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,3.0,0.0,7.0,0.0,12.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,17.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,13.0,0.0,14.0,23.0,21.0,15.0,23.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMPLICON,451.0,12084857.0,PRJNA252404,SAMN02850026,MIMARKS.specimen	MIGS/MIMS/MIMARKS.water,7070574.0,NANKAI UNIVERSITY,2012-03-26,public,sra	fastq	run.zq,ncbi	gs	s3,s3.us-east-1	ncbi.public	gs.US,petroleum reservoir,SRX588714,BA-3065Miseq,Illumina MiSeq,Lu3065,PAIRED,PCR,METAGENOMIC,aquatic metagenome,ILLUMINA,2015-02-19T00:00:00Z,2014-06-14T06:28:00Z,1.0,Lu3065BA,SRP043100
SRR1397339,139.0,1196.0,2303.0,271.0,459.0,400.0,311.0,787.0,1582.0,683.0,2103.0,526.0,569.0,302.0,3436.0,290.0,5.0,370.0,369.0,482.0,129.0,828.0,266.0,2.0,3024.0,219.0,93.0,211.0,167.0,131.0,2223.0,3409.0,1064.0,166.0,86.0,226.0,116.0,167.0,79.0,129.0,105.0,288.0,207.0,61.0,45.0,372.0,0.0,83.0,97.0,40.0,76.0,91.0,133.0,212.0,706.0,61.0,152.0,22.0,0.0,103.0,30.0,41.0,122.0,357.0,7.0,0.0,7.0,21.0,52.0,719.0,44.0,43.0,99.0,33.0,65.0,11.0,274.0,49.0,36.0,39.0,25.0,29.0,222.0,72.0,16.0,145.0,48.0,25.0,19.0,17.0,157.0,207.0,36.0,10.0,5.0,6.0,62.0,80.0,2.0,3.0,13.0,246.0,0.0,3.0,13.0,4.0,5.0,8.0,15.0,4.0,9.0,22.0,106.0,92.0,10.0,29.0,26.0,10.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,58.0,49.0,43.0,39.0,35.0,30.0,29.0,26.0,24.0,21.0,19.0,19.0,17.0,17.0,11.0,11.0,10.0,AMPLICON,456.0,55723617.0,PRJNA252404,SAMN02850027,MIMARKS.specimen	MIGS/MIMS/MIMARKS.water,34216185.0,NANKAI UNIVERSITY,2012-03-26,public,run.zq	fastq	sra,s3	gs	ncbi,s3.us-east-1	gs.US	ncbi.public,petroleum reservoir,SRX588796,BA-3064Miseq,Illumina MiSeq,Lu3064,PAIRED,PCR,METAGENOMIC,aquatic metagenome,ILLUMINA,2015-02-19T00:00:00Z,2014-06-14T06:29:00Z,1.0,Lu3064BA,SRP043100
