	SRR1397196	SRR1397407	SRR1397265	SRR1397339
SRR1397196	0	0.3733700130880144	0.1788239091788792	0.2657429803238187
SRR1397407	0.3733700130880144	0	0.2895399798729853	0.3001916029614484
SRR1397265	0.1788239091788792	0.2895399798729853	0	0.2791017423866976
SRR1397339	0.2657429803238187	0.3001916029614484	0.2791017423866976	0
