,0
4c22ea6d6a1312b1c80c7eb482891699,28.0
1842ca9b83ad336e212609af69b7aa89,27.0
e72c9f05db54712c794c779a24c622f0,27.0
327679e951c85bfaaa40cafdb169f785,27.0
b3bec1c5d65418e97e8485defa785598,27.0
78bc125c31a81ecec5706434947a785f,27.0
2f4c7bbb27585d43ca6038b95f8149eb,26.0
e03547bce1e2c9bdd412d990405fe642,26.0
da45e2999af57858fac067614ce86de2,26.0
772901f776d49318612db368f31fdd04,25.0
9cd6d2f26161356a41eb737c3ce4f858,25.0
5f8bfdd2602bfc3f99721195bc65ff9e,25.0
06d923f747998ef4718dbbe2a2cefd52,25.0
359d16780d30b778120b9f88339ae063,24.0
501d30a49a70975e33ec4c2d8f197a59,24.0
db6266baca362ec16e1609fff46b28ec,24.0
4feabc2b4ae96ae82baaab830dbce444,24.0
a79411a73396376bbd84a6e1a908571f,24.0
2d12f93e37aa2624f4f2a910e3cdb5e1,23.0
7872e4be63ba452496d447a24153e07e,23.0
090f4c265c35518ec2d2c6c564b1c0ed,23.0
84edb3ecd0a248e6e7e6991f662363ce,23.0
abed8bcc4210bd1d20f89ea3695f0157,23.0
ace821683bb6a5614158abb6ffadea40,23.0
33ccb09978961921045e96a4f940b792,23.0
7a8bdc772989727c4904b591bbe28498,23.0
a88919859c9456249aedfc91bbb9b4a9,23.0
1647531b303452b7ad3c179102390ef4,22.0
525ceed025eb7e6eb9b664ebdc66e173,22.0
580b2bdb2323fe013424e4c332839243,22.0
e6f9ee83c2e8dfb3256752c1c4ec55c3,22.0
3a3a393f654c80195ec670368234dfe0,21.0
ce860c2f023d754a02576e27c9dbb5fa,21.0
2614a3ebb9067e84b3a3d0acdf6ec5d6,21.0
82cb04819ebf234b46abee67161c30d0,21.0
8a07f88f5570832747cf53c9864aebfc,21.0
56a4f9b1636bf1d60889d4017f983848,21.0
94db1230e4af9696417cc1580a290ed2,21.0
75d9eed82f340e895113d3faebc5f660,21.0
b4718a654f3ba68077b7f79a5abe8456,21.0
0c50c54072b878e3f9f58e0e463210b2,20.0
e1997e3dc1c5ad6cc2daff76875807ae,20.0
abeb62257410474304299a4d690fafb5,20.0
13149b5d780de0dd352e9fb8bf20caa9,20.0
bea7c56e4f9f01d9caf82e11d5c4a319,20.0
5fc6dda9c1e57777b6cbba89e807e25a,20.0
39abd34bef11d52a102faa6fd48b89e6,20.0
4aa29f106f144614c8f3864957073b50,19.0
bc773135eb5928ab4cbf6c8c74773438,19.0
3711d64fe9aeff8dc89a47487bd8dd33,19.0
07eca3aa8623f88478b2edea7ab0e543,19.0
9b8d6ed9e649e055aa85dd594fce6aef,18.0
28f1dcb22c9c56811131a83cfd77eeaa,18.0
8dceab30f86f56f3fcdefd6a7c856a22,18.0
b1f80c7e173ae5181fe79a2241fce43c,18.0
da573297768f39ce47465e554f6e075c,18.0
58aebb80583097131fb497531a4bb2ea,18.0
8527e2c523d72446d37187757a8818b7,18.0
91d6f33e66e22ae0f44bd2e92060c354,18.0
b15b2ffe7fee2f280a66b398b92a1b96,18.0
1d50166837b8512f30b25d8ed2d955b9,17.0
4062f86a2daa260d4d4bb53a9647b77c,17.0
3ff8241b057db2d02415d3ed23def91d,17.0
d52cf2131e18e0ad83a03981c0e89ec4,17.0
097405baf6062f99c239d4f71ad17aeb,17.0
814e86859a8dbe556f26956626a714e8,17.0
a10574b526e5f00f096269e27aa2be3b,17.0
389b0c9982818d841bdcb319b9a7820b,17.0
8aa71b6b9e0c21143df452857f0d46af,17.0
2029885a8ebb775fef5052f193ed74f9,17.0
263af9217ba8748c87c08da31fedca63,16.0
0edd9da8c723d2a4c54589c03dac372d,16.0
24213ff8ee5bd99267469df3636426bb,16.0
4a48509190ce0bc5a13b6835813445d6,15.0
b57a1f6c7f5fa78cbb2a81cdecb8be5f,15.0
79344eb16acfde2b00ff5e1baa308de6,15.0
6a291d6c471e55230bc98fee147534f6,15.0
e095dad6b043df84d841c56b6ffa7f26,15.0
60be45cef9d87ab31758cf3f6d02e3db,15.0
04cd6015a7cf5a24bdaea803879aac44,15.0
3702c530664aae0e08a9e89b08f3bdba,15.0
160c4c4e30ccc3d2e678be5037e05ecc,15.0
6595d72a05a53d29197d399817741145,15.0
c37e980d94cc2dbff7c2a6b05c022556,15.0
b4a0a77b37138455e5e68b3ef2832e3d,15.0
10f7c89a99d05a0b47cfbbd0a560f292,15.0
db01e74d864d1e8def29642acca83f67,15.0
9c8ea93fa954a4befe208df363d94189,15.0
7c552953a52692ae393aae00ac1bd879,15.0
c90b54d231607420bee1643c8a9a4148,14.0
4174cc48ddd0dca33f78da4ee2e058d9,14.0
e0f39b5e7a422e1c0a93845be60be581,14.0
d65f795c4c99a6787a2d68bd89d9442d,14.0
8a51ac0ce3eb7556c460c90e6f8fb314,14.0
9688cd75a247fd47253224c073833cf9,14.0
e05d5266bfde42c441f0ae9e457dbd91,14.0
e76174cdc0b3a9bacb7a4d3e6fb808b4,14.0
d7ba240b40b162e8817e48c426df87d9,13.0
0b80609987bab6fba199e0effc3023ae,13.0
3ab0b492588083f12cd21f87f171746a,13.0
038d1e130dd9764a365ca722dba400fb,13.0
6e741a16b7e86e8250098afdb4e6d32a,13.0
989bf854cfa9eba6122edf84e70076c7,13.0
059cb87766e10e037670a6ee7d49788e,13.0
3014eb0589959ca03695bece35091d41,13.0
fbd023370e2830e3e6ed4d23be0756b5,13.0
d588d57fee110bd918384e709ff9b719,13.0
33ebea1ed2882decb29f0fa2948cb9f6,13.0
4df99122d7abde0876687901f61173ec,13.0
2998b770f4014897293920b058dda029,13.0
68732c6a9ad51889e30ba7d67d73ea8c,13.0
3340441ae4f698f4c893140812ca70ce,13.0
14e97862973d1b89deb8461f8f16cec1,12.0
bbb1e353f5466c52f742fc2fd74f126f,12.0
92f2f988cf5d00a43706c28510a59a7c,12.0
cddafba7577bf07041698986d02880c9,12.0
637fbbc6e2220ccbf59954a42069316e,12.0
4f64d105c7e87a4964bbfb8ada5e5633,12.0
e9477844bd3f2c19b3e933c846f41326,12.0
80e0155592aa81ff001dfc10315f25bc,12.0
91b8abf8dc6d00cc510380ab932fedfb,12.0
8cec43a93ee083bd1baff81590d577a5,12.0
cf3bad28a86a3d8257e22468271bae75,12.0
6b8201238618577987ad632ca46ba3d0,12.0
14c941c199f05cbb2df83bddfe0d7354,12.0
1dd66b2aaebf6301f9b382eeb155a500,12.0
e93224612f4f5031d1ff11728f0f4e06,12.0
2300caa0f5ef0a6b851e29dfb01cb0f4,12.0
d96c5d58525f4ef1cd5f6ebc3088af8e,12.0
9608d040d4fbdf2f5119480997f01da5,12.0
4b8bea080a6463486c539dcdeac1948c,12.0
3e60a70bd7d7752e1d7f6c526e967e3f,12.0
857561b39cb8b4c4d965a30df1a66461,12.0
a38b1c7f3c0159398661b23ada6b7385,12.0
c12b8a999d6be75d0f3a60306ec09014,11.0
1247617415589cf322837c4a7440d539,11.0
19688ab9b5dfc48b36b8fbab887c5bac,11.0
3f3fa7cca5b41c6358f94dd07d2c0876,11.0
ff7297844112dd72f8922226346a3805,11.0
b5fd0c408e67a83e40ce35e93dc6e562,11.0
4712ce032b2960f897e118356acce854,11.0
03d2367d17351e737fca259435e8f61c,11.0
025d506513683ce8b783cdb6bd688211,11.0
4a38f4793a84069cf512f8894f9a0204,11.0
9e5bae8c06f0d4ff2c72556a59413ec3,11.0
964af0c99a7303d1180af28b1aade416,11.0
ee02a6f28f4cabbf91e92ecef0b6e96d,11.0
f4a21a9082dbac2de02af68ba3adbce3,11.0
1e812455f9899cfaff7de79d3449f486,11.0
8192cb094f4cfc3ce21056a3f88a1721,11.0
631d613c21e9d2d9e210beeb09f4a424,11.0
f284ab03de155a1bdaf9f26c064c404f,11.0
4a088ed31ecf43bdf5aa0596c06b6230,11.0
40d06ff47ff486ad6c8528ece68a1676,11.0
ae9772c76574988f93e063913c76ea71,10.0
24e6b7e147ebb5d39e08255c403595f2,10.0
1891a1c0a1a95de8b71e9fb4d371cb13,10.0
8acfef264bb31e5a43a922dfb2f1c9d2,10.0
0a684bb5190ece25b815569ae8719f59,10.0
3c97105a5705ccdc37393d4dd3651f5e,10.0
8dfc55d975ab778023d1b9c44d717ba0,10.0
dfd6e385a2cf312f61f09601dc078870,10.0
da8b88573988f20a67d77b03c410c427,10.0
6981d1ba34441bff74b4232b7a220465,10.0
faf6c090cc2608d46ed7be72b44a5a6b,10.0
a746f3966df77ffe006e071bfd7d175c,10.0
9dd9cb39808463f1cdaee0223839f6e7,10.0
224af2da8091efa89d923138b55d4a4f,10.0
460dc5c4fcacd3b8bd765f96fd9bac3c,10.0
d985fb84a55fc6778012577039e63861,10.0
6a0bcf081ed9a8d9a392f1c2d80219c1,10.0
3e409bacab0a9b741770912add82689a,10.0
92d445343e0a43408b8754ebe5794483,10.0
d48e79f59e355c43f6aae6282860d554,10.0
97f640a85fbbb3b0faf68d5d490bb8ce,10.0
86da08f911546f68b1079d001fd73d97,10.0
af9e9c9d3f94ace69560043cb6bf139e,10.0
a7ca79dcd0df6c7a03f51bccefb02d85,10.0
82207e3600bbdbc8f11fd2228d462790,10.0
75a2adf8eb10f46c74b1cb29e77f2d90,10.0
92e9093340e8873abb2f0b8feb85517f,10.0
4e435fbc44f8458304300b8a1e777c4e,10.0
f21cad8a7da13b858d424786dea1402c,10.0
b9383bfd113a049c6ab9f64faa8dc997,10.0
701d0723180eff667a88b4f05cd88fc2,10.0
