function	SRR1397196	SRR1397265	SRR1397339	SRR1397407
1.8.1.15-RXN	95.67	112.5	388.0	204.5
1.8.1.4-RXN	9082.2	10864.64	45962.08	20208.26
1.8.4.12-RXN	6535.32	7694.37	30117.66	15573.5
1.8.4.8-RXN	3481.87	4746.299999999999	18211.29	10089.8
1.8.5.2-RXN	198.0	441.27	2272.59	3168.5
1.8.98.1-RXN	718.0	164.0	4913.5	1477.5
13-PROPANEDIOL-DEHYDROGENASE-RXN	14.0	17.5	374.0	243.5
1PFRUCTPHOSN-RXN	1837.14	1450.12	7055.539999999999	1914.2
1TRANSKETO-RXN	7772.4	8562.02	46881.44	18682.97
2-DEHYDROPANTOATE-REDUCT-RXN	3734.04	4575.219999999999	17592.4	10112.41
2-ENOATE-REDUCTASE-RXN	3.67	7.0	0.0	0.67
2-FUROATE--COA-LIGASE-RXN	9.44	19.950000000000003	74.55	264.72
2-HALOACID-DEHALOGENASE-RXN	4046.33	5599.74	12704.229999999998	5700.64
2-ISOPROPYLMALATESYN-RXN	7693.309999999999	8166.5	45492.83	21478.19
2-METHYLCITRATE-DEHYDRATASE-RXN	1182.0	1201.5	1070.5	806.0799999999999
2-METHYLCITRATE-SYNTHASE-RXN	2115.08	2150.25	5108.83	3763.41
2-NITROPROPANE-DIOXYGENASE-RXN	3447.47	4626.0	17720.25	10740.93
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	3236.37	4431.219999999999	13399.54	7922.47
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	5034.04	5396.82	33262.130000000005	13862.97
2-OXOBUTYRATE-SYNTHASE-RXN	2798.37	1474.17	26875.91	15730.09
2-OXOGLUTARATE-SYNTHASE-RXN	6583.74	4784.5	100959.0	37634.34
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	918.77	1396.95	9611.79	6584.97
2.1.1.130-RXN	1985.36	2682.55	6262.21	3190.56
2.1.1.131-RXN	1953.69	2587.05	5963.21	2534.3900000000003
2.1.1.132-RXN	2027.36	2721.55	6211.71	3016.56
2.1.1.133-RXN	2008.36	2626.05	6316.21	2908.06
2.1.1.151-RXN	1894.36	2592.55	5874.21	2987.56
2.1.1.17-RXN	455.98	1106.77	1369.6	1207.44
2.1.1.34-RXN	612.0	1084.77	8298.34	5001.75
2.1.1.44-RXN	91.0	90.0	419.0	273.0
2.1.1.63-RXN	7746.450000000001	9116.44	33373.92999999999	15969.36
2.1.1.64-RXN	3236.37	4431.219999999999	13399.54	7922.47
2.1.1.71-RXN	455.98	1106.77	1369.6	1207.44
2.1.1.72-RXN	12247.03	13450.87	82765.78	37623.3
2.1.1.74-RXN	1328.54	2126.52	12175.34	2854.92
2.1.1.77-RXN	6232.66	7175.699999999999	37513.25	16916.61
2.1.1.79-RXN	5802.2	7937.12	20205.620000000003	10673.96
2.1.1.86-RXN	2.0	7.0	689.0	822.0
2.1.1.90-RXN	0.0	0.0	62.0	140.0
2.1.3.1-RXN	19.68	84.0	99.0	4.68
2.1.3.9-RXN	109.0	69.5	3211.5	40.5
2.3.1.101-RXN	20.94	30.05	135.55	304.22
2.3.1.118-RXN	545.5	1340.0	1994.0	1463.25
2.3.1.128-RXN	6837.95	8193.18	35274.3	13298.04
2.3.1.157-RXN	4837.639999999999	4933.52	28029.33	10229.67
2.3.1.168-RXN	1966.5	2501.77	2829.09	1341.0
2.3.1.179-RXN	7426.58	8756.17	34863.04	16005.73
2.3.1.180-RXN	6139.52	7752.62	39429.09	18614.95
2.3.1.184-RXN	377.5	469.0	2042.0	653.0
2.3.1.41-RXN	3042.37	4376.549999999999	11881.95	6744.89
2.3.1.89-RXN	108.6	133.2	2760.7	419.7
2.3.2.13-RXN	49.5	110.5	386.5	299.5
2.4.1.117-RXN	0.0	4.0	123.0	5.0
2.4.1.119-RXN	67.0	111.25	627.75	2202.0
2.4.1.129-RXN	1085.6	1594.7	6604.53	5115.45
2.4.1.144-RXN	0.0	0.0	17.0	0.0
2.4.1.161-RXN	0.0	1.5	42.5	11.5
2.4.1.19-RXN	1.5	30.5	11.0	4.0
2.4.1.208-RXN	42.0	24.0	2346.5	76.0
2.4.1.211-RXN	5.67	10.0	10.0	9.67
2.4.1.212-RXN	45.0	90.0	335.0	264.0
2.4.1.213-RXN	8.0	3.0	26.0	27.0
